metric,era,species,era_species,species_metric,mean,lower_ci,upper_ci,diff_lower,diff_upper
Ho,Hist,Gmi,Hist_Gmi,Gmi_Ho,0.10796,0.10438199,0.111697452,0.00357801,0.003737452
Ho,Contemp,Gmi,Contemp_Gmi,Gmi_Ho,0.10165,0.098132053,0.104913183,0.003517947,0.003263183
He,Hist,Gmi,Hist_Gmi,Gmi_He,0.10218,0.099043455,0.105368957,0.003136545,0.003188957
He,Contemp,Gmi,Contemp_Gmi,Gmi_He,0.09606,0.093048767,0.09895703,0.003011233,0.00289703
Fis,Hist,Gmi,Hist_Gmi,Gmi_Fis,-0.01125,-0.015074211,-0.007540579,0.003824211,0.003709421
Fis,Contemp,Gmi,Contemp_Gmi,Gmi_Fis,-0.01127,-0.014383653,-0.008158439,0.003113653,0.003111561
pi,Hist,Gmi,Hist_Gmi,Gmi_pi,0.00178,0.001669473,0.001883023,0.000110527,0.000103023
pi,Contemp,Gmi,Contemp_Gmi,Gmi_pi,0.00172,0.001620493,0.001813798,9.95E-05,9.38E-05
Ho,Hist,Ela,Hist_Ela,Ela_Ho,0.119,0.117461285,0.120509099,0.001538715,0.001509099
Ho,Contemp,Ela,Contemp_Ela,Ela_Ho,0.11577,0.114282077,0.117217646,0.001487923,0.001447646
He,Hist,Ela,Hist_Ela,Ela_He,0.12109,0.119654222,0.122489077,0.001435778,0.001399077
He,Contemp,Ela,Contemp_Ela,Ela_He,0.11408,0.11285287,0.115308977,0.00122713,0.001228977
Fis,Hist,Ela,Hist_Ela,Ela_Fis,0.00846,0.006680085,0.010159894,0.001779915,0.001699894
Fis,Contemp,Ela,Contemp_Ela,Ela_Fis,0.00972,0.008298065,0.011113141,0.001421935,0.001393141
pi,Hist,Ela,Hist_Ela,Ela_pi,0.00408,0.003899498,0.004254154,0.000180502,0.000174154
pi,Contemp,Ela,Contemp_Ela,Ela_pi,0.00387,0.00371361,0.00403353,0.00015639,0.00016353
